year,month,user_account_id,user_lifetime,user_intake,user_no_outgoing_activity_in_days,user_account_balance_last,user_spendings,user_has_outgoing_calls,user_has_outgoing_sms,user_use_gprs,user_does_reload,reloads_inactive_days,reloads_count,reloads_sum,calls_outgoing_count,calls_outgoing_spendings,calls_outgoing_duration,calls_outgoing_spendings_max,calls_outgoing_duration_max,calls_outgoing_inactive_days,calls_outgoing_to_onnet_count,calls_outgoing_to_onnet_spendings,calls_outgoing_to_onnet_duration,calls_outgoing_to_onnet_inactive_days,calls_outgoing_to_offnet_count,calls_outgoing_to_offnet_spendings,calls_outgoing_to_offnet_duration,calls_outgoing_to_offnet_inactive_days,calls_outgoing_to_abroad_count,calls_outgoing_to_abroad_spendings,calls_outgoing_to_abroad_duration,calls_outgoing_to_abroad_inactive_days,sms_outgoing_count,sms_outgoing_spendings,sms_outgoing_spendings_max,sms_outgoing_inactive_days,sms_outgoing_to_onnet_count,sms_outgoing_to_onnet_spendings,sms_outgoing_to_onnet_inactive_days,sms_outgoing_to_offnet_count,sms_outgoing_to_offnet_spendings,sms_outgoing_to_offnet_inactive_days,sms_outgoing_to_abroad_count,sms_outgoing_to_abroad_spendings,sms_outgoing_to_abroad_inactive_days,sms_incoming_count,sms_incoming_spendings,sms_incoming_from_abroad_count,sms_incoming_from_abroad_spendings,gprs_session_count,gprs_usage,gprs_spendings,gprs_inactive_days,last_100_reloads_count,last_100_reloads_sum,last_100_calls_outgoing_duration,last_100_calls_outgoing_to_onnet_duration,last_100_calls_outgoing_to_offnet_duration,last_100_calls_outgoing_to_abroad_duration,last_100_sms_outgoing_count,last_100_sms_outgoing_to_onnet_count,last_100_sms_outgoing_to_offnet_count,last_100_sms_outgoing_to_abroad_count,last_100_gprs_usage
2013,6,2453,1026,0,21,4.79,0.0,1,0,0,0,1276,0,0.0,4,0.0,0.1,0.0,0.07,21,0,0.0,0.0,21,0,0.0,0.0,21,0,0.0,0.0,21,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,1.27,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,37282,970,0,1,13.85,4.78,1,0,0,1,26,1,5.0,21,4.78,32.2,1.04,6.9,1,0,0.0,0.0,1,19,4.78,31.85,1,0,0.0,0.0,1,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,6,0.0,0,0.0,0,0.0,0.0,1276,3,15.0,190.67,0.0,188.38,0.0,0,0,0,0,0.0
2013,6,72011,1920,0,1,2.93,21.85,1,1,0,1,4,3,19.52,91,6.88,43.72,0.61,3.4,1,0,0.0,0.0,1,47,5.87,32.63,1,9,0.4,2.82,1,258,14.97,0.11,1,10,0.63,1,79,6.3,1,52,5.72,1,23,0.0,2,0.0,0,0.0,0.0,1276,12,37.525,73.43,0.5,54.95,4.48,489,13,170,95,0.0
2013,6,97699,1986,0,1,11.68,1.58,1,1,0,1,29,1,6.0,6,0.95,6.3,0.2,1.3,12,0,0.0,0.0,12,5,0.8,5.3,12,0,0.0,0.0,12,11,0.63,0.11,1,0,0.0,1,5,0.3,1,3,0.33,1,13,0.0,2,0.0,0,0.0,0.0,1276,1,6.0,26.48,0.0,25.48,0.0,13,0,6,3,0.0
2013,6,104854,1986,0,1,13.83,3.42,1,1,0,0,78,0,0.0,10,0.54,4.28,0.18,1.0,8,0,0.0,0.0,8,2,0.36,2.0,8,0,0.0,0.0,8,32,2.88,0.09,1,0,0.0,1,32,2.88,1,0,0.0,1,8,0.0,0,0.0,0,0.0,0.0,1276,1,6.0,25.07,3.63,2.0,6.35,76,0,62,8,0.0
2013,6,137114,1986,0,5,6.73,0.72,1,0,0,0,68,0,0.0,23,0.72,4.0,0.18,1.0,5,0,0.0,0.0,5,11,0.0,0.0,5,0,0.0,0.0,5,0,0.0,0.0,68,0,0.0,68,0,0.0,68,0,0.0,68,0,0.0,0,0.0,0,0.0,0.0,1276,1,6.0,15.85,0.0,5.0,0.0,2,0,0,0,0.0
2013,6,141756,1986,0,3,2.79,7.42,1,1,0,1,26,1,5.0,22,0.97,12.82,0.43,2.83,3,0,0.0,0.0,3,3,0.82,5.43,3,0,0.0,0.0,3,77,6.45,0.25,3,9,0.54,3,51,3.06,3,0,0.0,3,14,0.0,0,0.0,0,0.0,0.0,1276,3,15.0,34.93,0.0,10.23,0.0,152,28,100,0,0.0
2013,6,226030,1500,0,2,9.68,0.99,1,1,0,0,58,0,0.0,2,0.15,1.0,0.15,1.0,10,0,0.0,0.0,10,1,0.15,1.0,10,0,0.0,0.0,10,14,0.84,0.06,2,9,0.54,2,5,0.3,2,0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,1276,1,12.0,9.85,0.0,9.03,0.0,59,17,41,0,0.0
2013,6,364400,1241,0,2,1.0,10.49,1,1,0,1,24,1,6.01,48,10.25,85.18,1.08,7.18,2,0,0.0,0.0,2,29,9.39,62.62,2,0,0.0,0.0,2,24,0.24,0.06,2,0,0.0,2,4,0.24,2,0,0.0,2,28,0.0,1,0.0,0,0.0,0.0,1276,4,18.005,149.3,0.0,96.92,0.0,45,0,17,0,0.0
2013,6,393293,838,0,1,9.11,16.83,1,1,0,1,16,2,25.5,44,16.83,67.33,6.57,11.53,1,0,0.0,0.0,1,21,3.75,24.97,1,0,0.0,0.0,1,3,0.0,0.0,5,0,0.0,5,3,0.0,5,0,0.0,5,9,0.0,0,0.0,0,0.0,0.0,1276,3,25.5,142.07,0.0,64.85,0.0,6,0,6,0,0.0
