x,y
0.0,12810
123.83333333333333,696
247.66666666666666,205
371.5,72
495.3333333333333,31
619.1666666666666,25
743.0,16
866.8333333333333,9
990.6666666666666,5
1114.5,5
1238.3333333333333,3
1362.1666666666665,0
1486.0,0
1609.8333333333333,1
1733.6666666666665,1
1857.5,0
1981.3333333333333,0
2105.1666666666665,0
2229.0,0
2352.833333333333,0
2476.6666666666665,0
2600.5,2
2724.333333333333,0
2848.1666666666665,0
2972.0,0
3095.833333333333,0
3219.6666666666665,0
3343.5,0
3467.333333333333,0
3591.1666666666665,1
3715.0,0
