x,y
35.0,1236
39931.666666666664,507
79828.33333333333,651
119725.0,435
159621.66666666666,453
199518.3333333333,456
239415.0,420
279311.6666666666,717
319208.3333333333,1068
359105.0,1017
399001.6666666666,1416
438898.3333333333,522
478795.0,0
518691.6666666666,0
558588.3333333333,0
598485.0,0
638381.6666666666,0
678278.3333333333,0
718175.0,0
758071.6666666666,0
797968.3333333333,0
837865.0,0
877761.6666666666,0
917658.3333333333,1026
957555.0,771
997451.6666666666,399
1037348.3333333333,198
1077245.0,570
1117141.6666666665,933
1157038.3333333333,1087
1196935.0,0
